Movie Title,Year,Score,Adjusted Score,Director,Cast,Consensus
Con Air,1997,56,60402.0,Simon West,"Nicolas Cage, John Cusack, John Malkovich, Steve Buscemi",
The Expendables 2,2012,67,72614.0,Simon West,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren","Taut, violent, and suitably self-deprecating,"
The Mummy,1999,61,65805.0,Stephen Sommers,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo",It's difficult to make a persuasive argument for
Mr. & Mrs. Smith,2005,60,67059.0,Doug Liman,"Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody","Although this action-romance suffers from weak writing and one too many explosions, the chemistry generated by onscreen couple Pitt and Jolie is palpable enough to make this a thoroughly enjoyable summer action flick."
Rush Hour,1998,61,64533.0,Brett Ratner,"Jackie Chan, Chris Tucker, Tom Wilkinson, Elizabeth PeÃ±a",A kick-ass addition to the cop-buddy film genre.
The Equalizer,2014,60,68761.0,Antoine Fuqua,"Denzel Washington, Marton Csokas, ChloÃ« Grace Moretz, David Harbour",
Captain America: Civil War,2016,90,110904.0,Anthony Russo,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",
Air Force One,1997,78,80829.0,Wolfgang Petersen,"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson","This late-period Harrison Ford actioner is full of palpable, if not entirely seamless, thrills."
Bloodsport,1988,40,41624.0,Newt Arnold,"Jean-Claude Van Damme, Donald Gibb, Leah Ayres, Norman Burton","This is where it all began for the Muscles from Brussels, but beyond Van Damme's athleticism,"
Blade,1998,56,61744.0,Stephen Norrington,"Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright","Though some may find the plot a bit lacking,"
Bad Boys,1995,42,46580.0,Michael Bay,"Martin Lawrence, Will Smith, Tea Leoni, Tcheky Karyo",
Die Hard With a Vengeance,1995,60,65539.0,John McTiernan,"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene",
The Running Man,1987,66,68868.0,Paul Michael Glaser,"Arnold Schwarzenegger, Maria Conchita Alonso, Richard Dawson, Yaphet Kotto",
Code of Silence,1985,68,69107.0,Andrew Davis,"Chuck Norris, Henry Silva, Bert Remsen, Mike Genovese",
Shoot 'Em Up,2007,67,72939.0,Michael Davis,"Clive Owen, Paul Giamatti, Monica Bellucci, Daniel Pilon",As preposterous and over-the-top as
Crank,2006,61,64216.0,Mark Neveldine,"Jason Statham, Amy Smart, Jose Pablo Cantillo, Efren Ramirez",
Machete,2010,72,78792.0,Robert Rodriguez,"Danny Trejo, Robert De Niro, Jessica Alba, Steven Seagal",
Drive,2011,93,102434.0,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks","With its hyper-stylized blend of violence, music, and striking imagery,"
Batman,1989,71,78267.0,Tim Burton,"Jack Nicholson, Michael Keaton, Kim Basinger, Robert Wuhl","An eerie, haunting spectacle,"
Under Siege,1992,79,81156.0,Andrew Davis,"Steven Seagal, Tommy Lee Jones, Gary Busey, Erika Eleniak","A well-directed action thriller that makes the most of its confined setting,"
Independence Day,1996,68,72102.0,Roland Emmerich,"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell","The plot is thin and so is character development, but as a thrilling, spectacle-filled summer movie, Independence Day delivers."
Bullitt,1968,98,102189.0,Peter Yates,"Steve McQueen, Robert Vaughn, Jacqueline Bisset, Don Gordon",Steve McQueen is cool as ice in this thrilling police procedural that also happens to contain arguably the greatest movie car chase ever.
Wanted,2008,71,79987.0,Timur Bekmambetov,"James McAvoy, Morgan Freeman, Angelina Jolie, Terence Stamp",
Superman: The Movie,1978,94,102832.0,Richard Donner,"Christopher Reeve, Gene Hackman, Marlon Brando, Margot Kidder",
Ronin,1998,68,72146.0,John Frankenheimer,"Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgard",
They Live,1988,85,89824.0,John Carpenter,"Roddy Piper, Keith David, Meg Foster, George ""Buck"" Flower","A politically subversive blend of horror and sci fi, They Live is an underrated genre film from John Carpenter."
Cliffhanger,1993,67,72218.0,Renny Harlin,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner","While it can't escape comparisons to the movies it borrows from,"
Marvel's the Avengers,2012,91,108190.0,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces,"
Hot Fuzz,2007,91,98738.0,Edgar Wright,"Simon Pegg, Nick Frost, Jim Broadbent, Paddy Considine",The brilliant minds behind
The Warriors,1979,86,90270.0,Walter Hill,"Michael Beck, James Remar, Dorsey Wright, Brian Tyler","As violent as it is stylish,"
Starship Troopers,1997,65,69408.0,Paul Verhoeven,"Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey",A fun movie...if you can accept the excessive gore and wooden acting.
Elite Squad 2,2010,91,91962.0,JosÃ© Padilha,"Wagner Moura, Irandhir Santos, AndrÃ© Ramiro, Pedro Van-Held","Elite Squad: The Enemy Within is a bleak, violent descent into the Brazilian underbelly, ripping into the favelas with unstoppable and kinetic force."
Point Break,1991,67,71284.0,Kathryn Bigelow,"Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty","Absurd, over-the-top, and often wildly entertaining,"
The Long Kiss Goodnight,1996,70,72438.0,Renny Harlin,"Geena Davis, Samuel L. Jackson, Patrick Malahide, Craig Bierko","Smart, sharp-witted, and fueled by enjoyably over-the-top action,"
The Guest,2014,91,96149.0,Adam Wingard,"Dan Stevens, Maika Monroe, Leland Orser, Sheila Kelley","Boasting enough intelligence to bolster its darkly violent thrills,"
Taken,2008,59,64237.0,Pierre Morel,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser",
300,2006,61,70109.0,Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Dominic West","A simple-minded but visually exciting experience, full of blood, violence, and ready-made movie quotes."
True Lies,1994,71,74650.0,James Cameron,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton","If it doesn't reach the heights of director James Cameron's and star Arnold Schwarzenegger's previous collaborations,"
Demolition Man,1993,60,63837.0,Marco Brambilla,"Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne","A better-than-average sci-fi shoot-em-up with a satirical undercurrent,"
Hardcore Henry,2015,52,57596.0,Ilya Naishuller,"Sharlto Copley, Danila Kozlovsky, Haley Bennett, Dasha Charusha",
